model,scenario,mean_latency,percentile_95_latency,ibleu,all_latencies
SASAR,high_overlap,0.019938206186099927,0.02742154896259308,1.5,"[0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.02742154896259308, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.017934076488018036, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.013544730842113495, 0.034566402435302734, 0.034566402435302734]"
SASAR,medium_overlap,0.023844135050870935,0.025559790432453156,0.8999999999999999,"[0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.023473404347896576, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.025559790432453156, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.02166873961687088, 0.037131667137145996, 0.037131667137145996]"
SASAR,low_overlap,0.018047826630728587,0.019475527107715607,1.0999999999999999,"[0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.016901135444641113, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.01667243242263794, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.019475527107715607, 0.03555798530578613, 0.03555798530578613]"
T5,high_overlap,0.045110734141602805,0.0570957213640213,18.2,"[0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.036175474524497986, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.0570957213640213, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.035384438931941986, 0.15193581581115723, 0.15193581581115723]"
T5,medium_overlap,0.04677433626992362,0.0445103645324707,18.6,"[0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0433528795838356, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.0445103645324707, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.043457597494125366, 0.19080901145935059, 0.19080901145935059]"
T5,low_overlap,0.04513610869037862,0.058124393224716187,10.6,"[0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.032838888466358185, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.03554043173789978, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.058124393224716187, 0.18760991096496582, 0.18760991096496582]"
